tag,attribute
a,class
a,href
a,rel
blockquote,class
br,
col,width
colgroup,
div,class
div,data-kg-background-image
div,style
em,
figcaption,
figure,class
h1,id
h2,class
h2,id
h3,class
h3,id
hr,
iframe,allow
iframe,allowfullscreen
iframe,class
iframe,frameborder
iframe,height
iframe,mozallowfullscreen
iframe,referrerpolicy
iframe,scrolling
iframe,src
iframe,style
iframe,title
iframe,webkitallowfullscreen
iframe,width
img,alt
img,class
img,height
img,loading
img,sizes
img,src
img,srcset
img,title
img,width
li,
ol,
p,dir
p,style
span,style
strong,
table,style
tbody,
td,style
tr,style
ul,
